rank	word
518.	arrêtez
519.	autant
520.	service
521.	reviens
522.	ceci
523.	drôle
524.	attend
525.	parfois
526.	téléphone
527.	retour
528.	ira
529.	e
530.	pauvre
531.	verre
532.	général
533.	new
534.	six
535.	pensé
536.	l
537.	impossible
538.	fête
539.	adore
540.	coeur
541.	aimes
542.	ci
543.	ferai
544.	président
545.	doute
546.	facile
547.	entends
548.	payer
549.	appelé
550.	prison
551.	john
552.	sors
553.	café
554.	vaut
555.	mauvais
556.	chéri
557.	oublié
558.	bras
559.	i
560.	gentil
561.	faute
562.	équipe
563.	exactement
564.	cœur
565.	penser
566.	changer
567.	commence
568.	lieu
569.	entendre
570.	ies
571.	roi
572.	plan
573.	partout
574.	joue
575.	cher
576.	morts
577.	rendre
578.	écrit
579.	travailler
580.	malade
581.	sinon
582.	génial
583.	regarder
584.	veulent
585.	montrer
586.	rentre
587.	travaille
588.	armée
589.	voulu
590.	cherche
591.	état
592.	boire
593.	sécurité
594.	dès
595.	esprit
596.	année
597.	dix
598.	york
599.	laissé
600.	bois
601.	mets
602.	propre
603.	soyez
604.	jack
605.	essayer
606.	faisait
607.	tôt
608.	surtout
609.	arme
610.	t
611.	rêve
612.	perdre
613.	avis
614.	semble
615.	pire
616.	simple
617.	penses
618.	parles
619.	paix
620.	livre
621.	dormir
622.	voyons
623.	difficile
624.	retard
625.	allait
626.	d
627.	sujet
628.	appris
629.	ensuite
630.	sauf
631.	maître
632.	morte
633.	noir
634.	or
635.	dîner
636.	choix
637.	serais
638.	écoute
639.	sale
640.	étiez
641.	sûrement
642.	an
643.	ordre
644.	souvent
645.	essayé
646.	peuvent
647.	visage
648.	bout
649.	changé
650.	sérieux
651.	inquiète
652.	âge
653.	photo
654.	rue
655.	tirer
656.	comprendre
657.	face
658.	semaines
659.	marché
660.	questions
661.	honneur
662.	ciel
663.	allé
664.	garder
665.	chemin
666.	grave
667.	gauche
668.	petits
669.	courant
670.	amie
671.	nouvelles
672.	avion
673.	con
674.	content
675.	force
676.	millions
677.	oublie
678.	devoir
679.	prochaine
680.	prix
681.	propos
682.	bateau
683.	bouge
684.	voix
685.	rouge
686.	restez
687.	celle
688.	pouvais
689.	personnes
690.	ferais
691.	début
692.	espèce
693.	gueule
694.	acheter
695.	continue
696.	sort
697.	faim
698.	long
699.	j
700.	voyage
701.	message
702.	sorte
703.	reçu
704.	bienvenue
705.	idiot
706.	certains
707.	hôpital
708.	promis
709.	devenir
710.	ouvre
711.	grâce
712.	sûre
713.	problèmes
714.	armes
715.	trucs
716.	camp
717.	allais
718.	occupe
719.	devait
720.	manque
721.	connaissez
722.	thé
723.	avaient
724.	cheveux
725.	soleil
726.	salle
727.	gagner
728.	laissez
729.	erreur
730.	cru
731.	pars
732.	bizarre
733.	croyez
734.	sac
735.	hôtel
736.	oncle
737.	pièce
738.	pouvait
739.	fond
740.	soirée
741.	secret
742.	patron
743.	rapport
744.	apprendre
745.	commencé
746.	sauver
747.	seconde
748.	pensez
749.	allô
750.	ailleurs
751.	agent
752.	froid
753.	seras
754.	pied
755.	jolie
756.	revenir
757.	scène
758.	pieds
759.	n
760.	devons
761.	groupe
762.	carte
763.	aurai
764.	effet
765.	neuf
766.	fallait
767.	monte
768.	battre
769.	noël
770.	venue
771.	mots
772.	tire
773.	droite
774.	libre
775.	soeur
776.	situation
777.	seront
778.	faux
779.	bordel
780.	foutre
781.	lumière
782.	euh
783.	incroyable
784.	tue
785.	joli
786.	connaît
787.	debout
788.	colonel
789.	cheval
790.	écoutez
791.	george
792.	joe
793.	vieille
794.	entrez
795.	intérieur
796.	coin
797.	auras
798.	gagné
799.	fric
800.	loi
801.	absolument
802.	dame
803.	cool
804.	magnifique
805.	dos
806.	occuper
807.	présent
808.	retrouver
809.	réussi
810.	frank
811.	rencontrer
812.	aviez
813.	meilleure
814.	âme
815.	prêts
816.	doucement
817.	table
818.	lettre
819.	rappelle
820.	sam
821.	fut
822.	risque
823.	ordres
824.	appel
825.	commencer
826.	terminé
827.	agit
828.	blanc
829.	sœur
830.	pareil
831.	charlie
832.	chaud
833.	finir
834.	touche
835.	avance
836.	ignore
837.	meurtre
838.	tranquille
839.	anniversaire
840.	déjeuner
841.	disais
842.	bord
843.	tom
844.	jeunes
845.	accident
846.	parlez
847.	fasse
848.	complètement
849.	déteste
850.	clair
851.	marcher
852.	disait
853.	mauvaise
854.	envoyé
855.	â
856.	professeur
857.	heureuse
858.	doivent
859.	midi
860.	lire
861.	moyen
862.	ferait
863.	commandant
864.	vraie
865.	sept
866.	forme
867.	tombe
868.	silence
869.	sortez
870.	connaître
871.	puisse
872.	cadeau
873.	flics
874.	mer
875.	médecin
876.	exact
877.	décidé
878.	moitié
879.	surprise
880.	avocat
881.	montre
882.	b
883.	su
884.	porter
885.	télé
886.	vivant
887.	jure
888.	disent
889.	mr
890.	serez
891.	devriez
892.	devenu
893.	aimé
894.	diable
895.	ligne
896.	mission
897.	suppose
898.	chacun
899.	autour
900.	pote
901.	grosse
902.	expliquer
903.	arrivée
904.	monter
905.	balle
906.	selon
907.	photos
908.	contrôle
909.	prête
910.	anglais
911.	sorti
912.	k
913.	bons
914.	disparu
915.	tenir
916.	simplement
917.	quitter
918.	envoie
919.	paul
920.	aimer
921.	voie
922.	paris
923.	classe
924.	huit
925.	offre
926.	poste
927.	dangereux
928.	attaque
929.	impression
930.	folle
931.	michael
932.	mange
933.	bravo
934.	arrière
935.	amérique
936.	suivre
937.	aille
938.	oublier
939.	peuple
940.	baiser
941.	rencontré
942.	honte
943.	connard
944.	trou
945.	retourner
946.	chanson
947.	change
948.	arrêté
949.	enfer
950.	écrire
951.	livres
952.	habitude
953.	réponse
954.	david
955.	lieutenant
956.	savait
957.	radio
958.	tenez
959.	bande
960.	bob
961.	rend
962.	compagnie
963.	connu
964.	secours
965.	danse
966.	met
967.	vol
968.	vit
969.	conneries
970.	aurez
971.	imagine
972.	boîte
973.	joué
974.	triste
975.	sud
976.	lu
977.	tel
978.	merveilleux
979.	pute
980.	aie
981.	ressemble
982.	coucher
983.	ennuis
984.	volé
985.	sortie
986.	devais
987.	combat
988.	bouche
989.	certain
990.	visite
991.	existe
992.	bête
993.	retourne
994.	approche
995.	pourtant
996.	plusieurs
997.	rire
998.	but
999.	sergent
1000.	public
1001.	système
1002.	présente
1003.	dirai
1004.	faudra
1005.	écouter
1006.	hors
